cell_id,celltype,x,y
nijflfll-1,11q13 Invasive Tumor Cells,6843.421875,4853.169921875
ghienbeo-1,T Lymphocytes,3412.02685546875,3102.752685546875
haddobge-1,11q13 Invasive Tumor Cells,4833.74755859375,4668.05908203125
ieanamai-1,Luminal-like Amorphous DCIS Cells,1085.818115234375,3744.717041015625
njoklmkl-1,11q13 Invasive Tumor Cells (Mitotic),6740.1005859375,4463.9677734375
fhnjaebd-1,11q13 Invasive Tumor Cells,4691.38916015625,3961.99658203125
laegmcpj-1,11q13 Invasive Tumor Cells (G1/S),9015.2041015625,326.2015686035156
glgmejki-1,11q13 Invasive Tumor Cells,4449.470703125,5200.44482421875
ahlbkcod-1,Basal-like Structured DCIS Cells,2113.103759765625,4977.6015625
kenjabgj-1,CXCL14+ Fibroblasts,9549.765625,2862.5078125
mgpebgmn-1,11q13 Invasive Tumor Cells,8910.60546875,3960.750244140625
iaplffca-1,Luminal-like Amorphous DCIS Cells,863.3710327148438,3640.4814453125
dapccjil-1,Luminal-like Amorphous DCIS Cells,1560.908447265625,2572.9306640625
hjoenmae-1,"CAFs, DCIS Associated",3171.95458984375,5560.04296875
hlohgcio-1,"CAFs, DCIS Associated",2608.568603515625,5717.9609375
chghidka-1,Luminal-like Amorphous DCIS Cells,1204.4378662109375,3193.9951171875
ikpeebhn-1,Basal-like Structured DCIS Cells,6124.14453125,2105.729248046875
djdkgfnk-1,Luminal-like Amorphous DCIS Cells,3558.186279296875,2557.6279296875
jjpkkble-1,Basal-like Structured DCIS Cells,6078.0869140625,1053.5849609375
bfopbibj-1,"CAFs, DCIS Associated",5236.3212890625,924.5821533203124
kdajcaam-1,B Cells,9508.93359375,1510.52880859375
kebhoolh-1,"CAFs, DCIS Associated",9333.15234375,2585.2939453125
badhcafo-1,11q13 Invasive Tumor Cells,3478.84228515625,3974.424560546875
odpafdbd-1,11q13 Invasive Tumor Cells,5633.89697265625,1606.072998046875
dapgadaf-1,"CAFs, DCIS Associated",1579.1920166015625,2783.224853515625
eflkhmbj-1,11q13 Invasive Tumor Cells,3892.902587890625,3788.708740234375
elbmingh-1,Pericytes,4967.2861328125,1841.5948486328125
fajibbdl-1,Pericytes,4720.66357421875,2398.43603515625
hdblfkch-1,B Cells,4481.1796875,5098.28857421875
hjbjgdom-1,"CAFs, DCIS Associated",3126.2880859375,5867.08349609375
hhmocgal-1,B Cells,2369.918701171875,5099.18994140625
ckchblck-1,Luminal-like Amorphous DCIS Cells,2070.659912109375,1882.389892578125
gjgekmgp-1,"CAFs, DCIS Associated",2938.06396484375,2945.834228515625
nmahbppp-1,11q13 Invasive Tumor Cells,6691.35009765625,2820.349365234375
gjcnegff-1,Luminal-like Amorphous DCIS Cells,2676.42724609375,3385.0390625
nblkoado-1,11q13 Invasive Tumor Cells,7055.595703125,3211.03466796875
jdanfimi-1,11q13 Invasive Tumor Cells (Mitotic),7272.64794921875,1525.3631591796875
fppkhpog-1,Endothelial Cells,3879.433837890625,188.63967895507807
oedebnmn-1,11q13 Invasive Tumor Cells,7007.15087890625,1339.8037109375
angddnpp-1,11q13 Invasive Tumor Cells,5070.98681640625,4426.6728515625
kahfgckb-1,Endothelial Cells,7614.82861328125,515.03466796875
ajjahlba-1,Myoepithelial Cells,2382.6513671875,4988.3134765625
keahiaac-1,CXCL14+ Fibroblasts,9487.001953125,2502.186279296875
kjcemlmg-1,11q13 Invasive Tumor Cells,7913.1259765625,2541.83447265625
nbiccodl-1,11q13 Invasive Tumor Cells,6946.64404296875,3312.508544921875
dahfbjgm-1,Myoepithelial Cells,1398.3564453125,1558.900390625
kbdnfncg-1,11q13 Invasive Tumor Cells,8092.70458984375,798.6865234375
enokeack-1,Basal-like Structured DCIS Cells,4871.3818359375,1491.30615234375
imjmjhlf-1,11q13 Invasive Tumor Cells,6334.9287109375,1964.3861083984373
bkjeekcn-1,11q13 Invasive Tumor Cells,6995.9482421875,3987.40673828125
ahlkoobb-1,Myoepithelial Cells,2017.2989501953125,4900.27783203125
gfnhpblp-1,Pericytes,2948.373291015625,4495.755859375
kpaggnll-1,Dendritic Cells,8648.6923828125,2513.371337890625
fbdmgkpo-1,Pericytes,4508.96337890625,2730.94873046875
jlfflkkj-1,"CAFs, Invasive Associated",8188.11669921875,619.586181640625
ajfphnol-1,Myoepithelial Cells,1962.3475341796875,4630.8017578125
aejghkbb-1,11q13 Invasive Tumor Cells,4197.943359375,4925.97265625
dcbjhmld-1,Luminal-like Amorphous DCIS Cells,1179.862548828125,2101.65087890625
fheeogpa-1,11q13 Invasive Tumor Cells,4931.734375,3869.731689453125
edigbefj-1,11q13 Invasive Tumor Cells,3310.06396484375,4430.43408203125
efgjllop-1,11q13 Invasive Tumor Cells,4014.048095703125,3609.066162109375
fiedgbfn-1,11q13 Invasive Tumor Cells,4676.08203125,3729.203369140625
dmindiek-1,Endothelial Cells,4317.40869140625,3752.94580078125
geagakcb-1,11q13 Invasive Tumor Cells,2476.007568359375,4241.6201171875
biccgdaj-1,11q13 Invasive Tumor Cells,7133.70654296875,2663.812744140625
